City,Temperature,Humidity,Longitude,Latitude,Cloudiness,Country,Windspeed,Date
isla mujeres,298.15,88,-86.73,21.23,90,MX,4.6,1604276046
ilulissat,266.15,67,-51.1,69.22,100,GL,3.6,1604275925
kholodnyy,257.29,90,147.95,62.72,98,RU,1.2,1604275927
plettenberg bay,289.88,87,23.37,-34.05,0,ZA,2.8,1604276046
inhambane,295.47,73,35.38,-23.86,31,MZ,3.1,1604275750
barrhead,281.48,93,-4.39,55.8,75,GB,7.2,1604275864
pendleton,286.48,43,-118.79,45.67,1,US,4.6,1604276047
sumbawanga,289.85,73,31.62,-7.97,55,TZ,3.73,1604276047
bujaru,299.15,83,-48.04,-1.51,0,BR,3.6,1604276048
luderitz,290.67,58,15.16,-26.65,67,NA,4.8,1604276048
najran,289.15,31,44.13,17.49,0,SA,0.4,1604276048
asau,277.04,89,26.4,46.43,3,RO,2.61,1604276048
kitchener,273.15,94,-80.51,43.43,90,CA,11.3,1604276048
nizhnyaya tavda,270.28,98,66.17,57.67,62,RU,2.18,1604275846
mago,277.13,88,140.18,53.25,100,RU,1.34,1604276049
los llanos de aridane,296.15,35,-17.92,28.66,0,ES,4.1,1604276050
hervey bay,299.15,61,152.85,-25.3,75,AU,3.6,1604276050
san andres,298.15,94,-81.7,12.58,90,CO,5.1,1604276040
kruisfontein,291.48,81,24.73,-34.0,29,ZA,0.45,1604276050
west bay,302.15,79,-81.42,19.37,20,KY,5.7,1604276051
erzin,293.15,70,36.2,36.96,5,TR,0.89,1604276051
saldanha,290.15,67,17.94,-33.01,0,ZA,1.5,1604276051
finnsnes,282.15,66,17.98,69.23,97,NO,15.9,1604276051
pacifica,297.15,38,-122.49,37.61,75,US,4.72,1604275986
khonsa,291.24,96,95.57,27.02,74,IN,1.04,1604276052
yaan,297.25,85,8.57,7.38,100,NG,2.34,1604276052
sal rei,298.15,83,-22.92,16.18,75,CV,4.6,1604276052
biak,300.98,68,122.88,-0.91,100,ID,2.68,1604276053
bowen,302.15,58,148.23,-20.02,40,AU,3.6,1604276053
saint pete beach,299.26,88,-82.74,27.73,90,US,4.1,1604276054
shevchenkove,283.15,93,37.17,49.7,75,UA,3.0,1604276054
gewane,296.65,47,40.65,10.17,0,ET,2.5,1604276054
